#Unique identifier for interactor A	Unique identifier for interactor B	Alternative identifier for interactor A	Alternative identifier for interactor B	Aliases for A	Aliases for B	Interaction detection methods	First author	Identifier of the publication	NCBI Taxonomy identifier for interactor A	NCBI Taxonomy identifier for interactor B	Interaction types	Source databases	Interaction identifier(s)	Confidence score	Complex expansion	Biological role A	Biological role B	Experimental role A	Experimental role B	Interactor type A	Interactor type B	Xref for interactor A	Xref for interactor B	Xref for the interaction	Annotations for interactor A	Annotations for interactor B	Annotations for the interaction	NCBI Taxonomy identifier for the host organism	Parameters of the interaction	Creation date	Update date	Checksum for interactor A	Checksum for interactor B	Checksum for interaction	negative	Feature(s) for interactor A	Feature(s) for interactor B	Stoichiometry for interactor A	Stoichiometry for interactor B	Participant identification method for interactor A	Participant identification method for interactor B
uniprotkb:P10909	uniprotkb:P24821	matrixdb:P10909	matrixdb:P24821	uniprotkb:clu(gene name)	uniprotkb:tnc(gene name)	psi-mi:"MI:0096"(pull down)	Brellier et al.(2011)	pubmed:21349332|imex:IM-16019	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P10909__P24821_21349332_MatrixDB_1|imex:IM-16019-8	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure Table 1,Table 2"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	his_tag:?-?	-	-	psi-mi:"MI:0082"(peptide massfingerprinting)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P11087	uniprotkb:Q62009	matrixdb:P11087	matrixdb:Q62009	uniprotkb:col1a1(gene name)	uniprotkb:postn(gene name)	psi-mi:"MI:0416"(fluorescence microscopy)	Fortunati et al.(2010)	pubmed:20654714|imex:IM-16027	taxid:10090("Mus musculus")	taxid:10090("Mus musculus")	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P11087__Q62009_20654714_MatrixDB_1|imex:IM-16027-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 5"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0709"(polyclonal antibody immunostaining)	psi-mi:"MI:0709"(polyclonal antibody immunostaining)
uniprotkb:P11142	uniprotkb:P28301	matrixdb:P11142	matrixdb:P28301	uniprotkb:HSPA8(gene name)	uniprotkb:lox(gene name)	psi-mi:"MI:0096"(pull down)	Sato et al.(2011)	pubmed:21536655|imex:IM-22090	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P11142__P28301_21536655_MatrixDB_1|imex:IM-22090-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:9606("Homo sapiens")	-	-	-	-	-	-	-	-	sufficient_binding_site:1-162	-	-	psi-mi:"MI:0102"(sequence tag identification)	psi-mi:"MI:0102"(sequence tag identification)
uniprotkb:P11215	matrixdb:SPEP_4	matrixdb:P11215	ebi:EBI-6252260	uniprotkb:itgam(gene name)	matrixdb:CRLKEKHC(short label)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Houimel et al.(2012)	pubmed:22100634|imex:IM-17881	taxid:9606("Homo sapiens")	-	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P11215__SPEP_4_22100634_MatrixDB_1|imex:IM-17881-3	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0941"(competitor)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0327"(peptide)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P11276	uniprotkb:P24821	matrixdb:P11276	matrixdb:P24821	uniprotkb:fn1(gene name)	uniprotkb:tnc(gene name)	psi-mi:"MI:0416"(fluorescence microscopy)	To et al.(2010)	pubmed:20708078|imex:IM-16026	taxid:10090("Mus musculus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P11276__P24821_20708078_MatrixDB_1|imex:IM-16026-3	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 5B"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	sufficient_binding_site:622-1073|his_tag:n-n|alexa_488_label:?-?	-	-	psi-mi:"MI:0709"(polyclonal antibody immunostaining)	psi-mi:"MI:0707"(anti tag immunostaining)
uniprotkb:P11276	uniprotkb:Q9Z175	matrixdb:P11276	matrixdb:Q9Z175	uniprotkb:fn1(gene name)	uniprotkb:LOXL3(gene name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Kraft-Sheleg et al.(2016)	pubmed:26954549	taxid:10090("Mus musculus")	taxid:10090("Mus musculus")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P11276__Q9Z175_26954549_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:10090("Mus musculus")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprotkb:P11276	uniprotkb:Q9Z175	matrixdb:P11276	matrixdb:Q9Z175	uniprotkb:fn1(gene name)	uniprotkb:LOXL3(gene name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Kraft-Sheleg et al.(2016)	pubmed:26954549	taxid:10090("Mus musculus")	taxid:10090("Mus musculus")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P11276__Q9Z175_26954549_MatrixDB_2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:10090("Mus musculus")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprotkb:P11362	uniprotkb:P98160	matrixdb:P11362	matrixdb:P98160	uniprotkb:FGFR1(gene name)	uniprotkb:hspg2(gene name)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Lord et al.(2014)	pubmed:24509440|imex:IM-22971	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P11362__P98160_24509440_MatrixDB_1|imex:IM-22971-1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	sufficient_binding_site:22-374	-	-	-	psi-mi:"MI:0707"(anti tag immunostaining)	psi-mi:"MI:0707"(anti tag immunostaining)
uniprotkb:P11362	uniprotkb:P98160	matrixdb:P11362	matrixdb:P98160	uniprotkb:FGFR1(gene name)	uniprotkb:hspg2(gene name)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Lord et al.(2014)	pubmed:24509440|imex:IM-22971	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P11362__P98160_24509440_MatrixDB_2|imex:IM-22971-2	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	sufficient_binding_site:22-374	-	-	-	psi-mi:"MI:0707"(anti tag immunostaining)	psi-mi:"MI:0707"(anti tag immunostaining)
uniprotkb:P12109	uniprotkb:P05067-PRO_0000000092	matrixdb:P12109	matrixdb:PFRAG_12_human	uniprotkb:col6a1(gene name)	matrixdb:"Beta-amyloid peptide 1-42"(short label)|matrixdb:"Peptide (1-42) of the amyloid precursor protein"(synonym)	psi-mi:"MI:0921"(surface plasmon resonance array)	Salza et al.(2017)	pubmed:28106549|imex:IM-25796	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P12109__PFRAG_12_human_28106549_MatrixDB_1|imex:IM-25796-11	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	sufficient_binding_site:37-235	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P13497	uniprotkb:P12643	matrixdb:P13497	matrixdb:P12643	uniprotkb:BMP1(gene name)	uniprotkb:BMP2(gene name)	psi-mi:"MI:0019"(coimmunoprecipitation)	Jasuja et al.(2007)	pubmed:17255107	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P12643__P13497_17255107_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:Q9Z0E2	uniprotkb:P12643	matrixdb:Q9Z0E2	matrixdb:P12643	uniprotkb:CHRD(gene name)	uniprotkb:BMP2(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Jasuja et al.(2007)	pubmed:17255107	taxid:10090("Mus musculus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P12643__Q9Z0E2_17255107_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	kd:6.7(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P13497	uniprotkb:P12644	matrixdb:P13497	matrixdb:P12644	uniprotkb:BMP1(gene name)	uniprotkb:BMP4(gene name)	psi-mi:"MI:0019"(coimmunoprecipitation)	Jasuja et al.(2007)	pubmed:17255107	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P12644__P13497_17255107_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:Q9Z0E2	uniprotkb:P12644	matrixdb:Q9Z0E2	matrixdb:P12644	uniprotkb:CHRD(gene name)	uniprotkb:BMP4(gene name)	psi-mi:"MI:0107"(surface plasmon resonance)	Jasuja et al.(2007)	pubmed:17255107	taxid:10090("Mus musculus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P12644__Q9Z0E2_17255107_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	kd:6.7(nanomolar)	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P16636	uniprotkb:P13497	matrixdb:P16636	matrixdb:P13497	uniprotkb:lox(gene name)	uniprotkb:BMP1(gene name)	psi-mi:"MI:0415"(enzymatic study)	Uzel et al.(2001)	pubmed:11313359	taxid:10116("Rattus norvegicus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13497__P16636_11313359_MatrixDB_1	-	-	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Splicing variants BMP-1 and mTLD process prolysyl oxidase, BMP-1 being 20-more efficient."	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0816"(molecular weight estimation by staining)
uniprotkb:P13497-4	uniprotkb:P97399	matrixdb:P13497	matrixdb:P97399	uniprotkb:BMP1(gene name)	uniprotkb:DSPP(gene name)	psi-mi:"MI:0435"(protease assay)	von et al.(2010)	pubmed:20079836|imex:IM-16031	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13497__P97399_20079836_MatrixDB_1|imex:IM-16031-1	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 1, 2B, 3A, 6B"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	mutation_decreasing_interaction:449-449|mutation_decreasing_interaction:450-450	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0086"(polyclonal antibody western blot)
uniprotkb:P13497-2	uniprotkb:P97399	matrixdb:P13497	matrixdb:P97399	uniprotkb:BMP1(gene name)	uniprotkb:DSPP(gene name)	psi-mi:"MI:0435"(protease assay)	von et al.(2010)	pubmed:20079836|imex:IM-16031	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13497__P97399_20079836_MatrixDB_2|imex:IM-16031-3	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 1,2B, 3A, 6B"	taxid:-1("in vitro")	-	-	-	-	-	-	-	sufficient_binding_site:121-730|his_tag:731-c	mutation_decreasing_interaction:449-449|mutation_decreasing_interaction:450-450	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0086"(polyclonal antibody western blot)
uniprotkb:P13497	uniprotkb:P97873	matrixdb:P13497	matrixdb:P97873	uniprotkb:BMP1(gene name)	uniprotkb:loxl1(gene name)	psi-mi:"MI:0415"(enzymatic study)	Borel et al.(2001)	pubmed:11684696	taxid:9606("Homo sapiens")	taxid:10090("Mus musculus")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13497__P97873_11684696_MatrixDB_1	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Maturation of LOX_L to an active form by BMP-1"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0078"(nucleotide sequence identification)
uniprotkb:P98160-PRO_0000391621	uniprotkb:P13497	matrixdb:PFRAG_6_human	matrixdb:P13497	matrixdb:"Endorepellin"(short label)|matrixdb:"C terminal domain of perlecan"(synonym)	uniprotkb:BMP1(gene name)	psi-mi:"MI:0435"(protease assay)	Gonzalez et al.(2005)	pubmed:15591058	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13497__PFRAG_6_human_15591058_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P13497-4	uniprotkb:Q13316	matrixdb:P13497	matrixdb:Q13316	uniprotkb:BMP1(gene name)	uniprotkb:DMP1(gene name)	psi-mi:"MI:0435"(protease assay)	von et al.(2010)	pubmed:20079836|imex:IM-16031	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13497__Q13316_20079836_MatrixDB_1|imex:IM-16031-4	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 2C, 3B, 6C"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0816"(molecular weight estimation by staining)
uniprotkb:P13497-2	uniprotkb:Q13316	matrixdb:P13497	matrixdb:Q13316	uniprotkb:BMP1(gene name)	uniprotkb:DMP1(gene name)	psi-mi:"MI:0435"(protease assay)	von et al.(2010)	pubmed:20079836|imex:IM-16031	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13497__Q13316_20079836_MatrixDB_2|imex:IM-16031-5	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 2C, 3B, 6C"	taxid:-1("in vitro")	-	-	-	-	-	-	-	his_tag:c-c|sufficient_binding_site:121-730	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0816"(molecular weight estimation by staining)
uniprotkb:P13497	uniprotkb:Q15113	matrixdb:P13497	matrixdb:Q15113	uniprotkb:BMP1(gene name)	uniprotkb:PCOLCE(gene name)	psi-mi:"MI:0435"(protease assay)	Morimoto et al.(2008)	pubmed:18164932	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13497__Q15113_18164932_MatrixDB_1	-	-	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0840"(stimulator)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"beta2-microglobulin does not modify the basal activity of BMP-1, or the enhancer activity of PCPE-1"|comment:"Figure 4"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P13500	uniprotkb:P39060	matrixdb:P13500	matrixdb:P39060	uniprotkb:CCL2(gene name)	uniprotkb:col18a1(gene name)	psi-mi:"MI:0892"(solid phase assay)	Kawashima et al.(2003)	pubmed:12556525	taxid:9606("Homo sapiens")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13500__P39060_12556525_MatrixDB_1	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Figure 8"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0078"(nucleotide sequence identification)	psi-mi:"MI:0113"(western blot)
uniprotkb:P13605	uniprotkb:P05067-PRO_0000000092	matrixdb:P13605	matrixdb:PFRAG_12_human	uniprotkb:FMOD(gene name)	matrixdb:"Beta-amyloid peptide 1-42"(short label)|matrixdb:"Peptide (1-42) of the amyloid precursor protein"(synonym)	psi-mi:"MI:0921"(surface plasmon resonance array)	Salza et al.(2017)	pubmed:28106549|imex:IM-25796	taxid:9913("Bos taurus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13605__PFRAG_12_human_28106549_MatrixDB_1|imex:IM-25796-11	-	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P13608	uniprotkb:P22894	matrixdb:P13608	matrixdb:P22894	uniprotkb:acan(gene name)	uniprotkb:MMP8(gene name)	psi-mi:"MI:0435"(protease assay)	Durigova et al.(2011)	pubmed:21055468|imex:IM-16018	taxid:9913("Bos taurus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13608__P22894_21055468_MatrixDB_1|imex:IM-16018-6	-	-	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Aggrecan was under the proteoglycan form,cleavage at the Ser341-Phe342 site"|comment:"Figure 6,7,9A"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0086"(polyclonal antibody western blot)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P13608	uniprotkb:P39900	matrixdb:P13608	matrixdb:P39900	uniprotkb:acan(gene name)	uniprotkb:MMP12(gene name)	psi-mi:"MI:0435"(protease assay)	Durigova et al.(2011)	pubmed:21055468|imex:IM-16018	taxid:9913("Bos taurus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13608__P39900_21055468_MatrixDB_1|imex:IM-16018-7	-	-	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Aggrecan was under the proteoglycan form,cleavage at the Ser341-Phe342 site"|comment:"Figure 6,7,9A,9B"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0086"(polyclonal antibody western blot)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P13608	uniprotkb:P45452	matrixdb:P13608	matrixdb:P45452	uniprotkb:acan(gene name)	uniprotkb:mmp13(gene name)	psi-mi:"MI:0435"(protease assay)	Durigova et al.(2011)	pubmed:21055468|imex:IM-16018	taxid:9913("Bos taurus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13608__P45452_21055468_MatrixDB_1|imex:IM-16018-8	-	-	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Aggrecan was under the proteoglycan form"|comment:"Figure 6"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	-	-	-	psi-mi:"MI:0086"(polyclonal antibody western blot)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P13608	uniprotkb:Q9UNA0	matrixdb:P13608	matrixdb:Q9UNA0	uniprotkb:acan(gene name)	uniprotkb:ADAMTS5(gene name)	psi-mi:"MI:0435"(protease assay)	Durigova et al.(2011)	pubmed:21055468|imex:IM-16018	taxid:9913("Bos taurus")	taxid:9606("Homo sapiens")	psi-mi:"MI:0570"(protein cleavage)	psi-mi:"MI:0917"(MatrixDB)	matrixdb:P13608__Q9UNA0_21055468_MatrixDB_1|imex:IM-16018-1	-	-	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	comment:"Aggrecan was under the proteoglycan form, cleavage within the aggrecan CS-2 region"|comment:"Figure 4,5,8,9B,10"	taxid:-1("in vitro")	-	-	-	-	-	-	-	-	sufficient_binding_site:17-566|flag_tag:c-c	-	-	psi-mi:"MI:0086"(polyclonal antibody western blot)	psi-mi:"MI:0396"(predetermined participant)
